title,canonicalUse,category,createdAt,effortEstimate,lineReference,linkedPR,linkedPhase,notes,originFile,priority,status,updatedAt
Unused _context parameter in DocumentSurface.tsx,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 113:53,,,Intentionally unused parameter - safe to suppress with ESLint disable,src/components/surfaces/DocumentSurface.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused _context parameter in ExecuteSurface.tsx,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 72:53,,,Intentionally unused parameter - safe to suppress with ESLint disable,src/components/surfaces/ExecuteSurface.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused _context parameter in GovernSurface.tsx,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 197:53,,,Intentionally unused parameter - safe to suppress with ESLint disable,src/components/surfaces/GovernSurface.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused _context parameter in IntegrateSurface.tsx,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 25:53,,,Intentionally unused parameter - safe to suppress with ESLint disable,src/components/surfaces/IntegrateSurface.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused _context parameter in PlanSurface.tsx,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 48:53,,,Intentionally unused parameter - safe to suppress with ESLint disable,src/components/surfaces/PlanSurface.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused IntegrateSurface prop parameters,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Lines 19-22,,,"Unused _currentPhase, _currentStep, _onPhaseChange, _onStepChange - can be removed from interface",src/components/surfaces/IntegrateSurface.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused _projects parameter in EnhancedProjectSidebar,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 39:3,,,Component uses mockProjects instead - can remove from props,src/components/layout/EnhancedProjectSidebar.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused _error parameter in SendToGitHubButton,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 40:14,,,Intentionally unused in catch block - safe to suppress,src/components/SendToGitHubButton.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused editor parameter in DocsEditor callback,Yes,Lint,"July 29, 2025 11:24 AM",<30min,Line 58:18,,,Editor parameter in callback - check if needed or can be removed,src/components/docs/DocsEditor.tsx,Low,Open,"July 29, 2025 11:24 AM"
Unused _databaseId parameter in driveMemorySync,Yes,Lint,"July 29, 2025 11:25 AM",<30min,Line 240:60,,,Already marked with underscore - safe to suppress,src/utils/driveMemorySync.ts,Low,Open,"July 29, 2025 11:25 AM"
Unused parameters in templateDispatcher.ts,Yes,Dead Code,"July 29, 2025 11:25 AM",1-2 hours,"Line 3:39, 3:59",,,"templateId, templateName - appears to be stub function, implement or remove",src/lib/templateDispatcher.ts,Medium,Open,"July 29, 2025 11:25 AM"
Unused parameters in aiHelpers.ts,Yes,Dead Code,"July 29, 2025 11:25 AM",1-2 hours,"Lines 2, 6, 10",,,"projectId, stepId, checkpointId, meetingId - scaffold functions, implement or remove",src/utils/aiHelpers.ts,Medium,Open,"July 29, 2025 11:25 AM"
Any type usage in agent.ts interfaces,Yes,Structural,"July 29, 2025 11:25 AM",2-4 hours,"Lines 14:29, 34:29, 52:29",,,Critical - affects multiple components. Define proper Agent interfaces for type safety,src/types/agent.ts,High,Open,"July 29, 2025 11:25 AM"
Any type in ProjectContext.tsx,Yes,Structural,"July 29, 2025 11:25 AM",1-2 hours,Line 12:13,,,Core functionality - context should be properly typed,src/contexts/ProjectContext.tsx,High,Open,"July 29, 2025 11:25 AM"
Any type in governance.ts event details,Yes,Structural,"July 29, 2025 11:25 AM",1-2 hours,Line 19:13,,,Event typing for audit trails - important for governance,src/types/governance.ts,Medium,Open,"July 29, 2025 11:25 AM"
Any type in AgentMesh.tsx component,Yes,Lint,"July 29, 2025 11:25 AM",1-2 hours,Line 399:49,,,Component state typing - should be properly defined,src/components/mesh/AgentMesh.tsx,Medium,Open,"July 29, 2025 11:25 AM"
Any type in mockProjects.ts,Yes,Lint,"July 29, 2025 11:25 AM",<30min,Line 8:16,,,Mock data structure - can be easily typed,src/data/mockProjects.ts,Low,Open,"July 29, 2025 11:25 AM"
Any type in getIntegrationHealth.ts,Yes,Lint,"July 29, 2025 11:25 AM",1-2 hours,Line 11:29,,,API response typing - should define interface for health data,src/lib/getIntegrationHealth.ts,Medium,Open,"July 29, 2025 11:25 AM"
Any type in claudeGizmoComm.ts,Yes,Structural,"July 29, 2025 11:25 AM",1-2 hours,Line 10:13,,,Communication interface - important for AI agent interactions,src/utils/claudeGizmoComm.ts,Medium,Open,"July 29, 2025 11:25 AM"
Import style violations in project.ts,Yes,Lint,"July 29, 2025 11:25 AM",<30min,"Lines 5:47, 11:45, 22:44",,,Convert import() type annotations to proper import statements,src/types/project.ts,Low,Open,"July 29, 2025 11:25 AM"